"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"TMEM179B",1538.30438800386,1.08749323581276,0.116696290891254,6.29037340311127e-21,3.3426801993906e-20,"Up"
"MAOB",139.209834161658,12.6760042925218,3.38518608155599,6.33535372359022e-21,3.36542526953041e-20,"Up"
"SFPQ",7723.39760352243,-0.607038494098084,0.0648790321879326,6.66131191634836e-21,3.53736264753715e-20,"Down"
"HLA-DOB",57.8247329898285,4.91701607909632,0.523060324513313,6.7536538445316e-21,3.5851670511696e-20,"Up"
"RBCK1",3861.60229880291,1.30156629531998,0.140163973053149,6.88598323167037e-21,3.65415861535035e-20,"Up"
"MGAT2",2694.51654420452,-0.461226475193508,0.0492713127162824,6.89036966429165e-21,3.65523111645379e-20,"Not Significant"
"KCTD7",360.792653860019,-0.995677923462622,0.106883304744295,6.95006056955514e-21,3.68563095337459e-20,"Down"
"GOT1",1110.67077600118,-0.545595019379554,0.058303079944749,6.9865482570085e-21,3.70370944135686e-20,"Down"
"CEP128",125.141236344734,-1.5040002625427,0.162272753652388,7.08765489274088e-21,3.75601958359139e-20,"Down"
"PLEK2",318.194680331812,10.9863164012201,1.34630774068649,7.2083161599405e-21,3.81865305517863e-20,"Up"
"OS9",4071.49280074662,-0.7302544371866,0.078216493950757,7.32221965196345e-21,3.87766484858777e-20,"Down"
"UBALD2",9549.61512817199,-1.23131376639472,0.132651962425613,7.4842793101575e-21,3.96212977663117e-20,"Down"
"UNC119B",782.734653564202,-0.688694634766315,0.0737384799161826,7.50514972080272e-21,3.97181776149193e-20,"Down"
"C2orf42",248.367968127253,1.03999306871394,0.10838869481973,7.54492777197882e-21,3.99150184390239e-20,"Up"
"NGRN",404.888254467924,1.64257606791415,0.177854816260561,7.5690610103604e-21,4.00289869244008e-20,"Up"
"SLC25A19",299.72274499023,1.29692226578018,0.139881712692295,7.61442011172196e-21,4.02550920240984e-20,"Up"
"MYH10",120.54842332091,-2.07840782644555,0.22624226712477,7.69399933732462e-21,4.06618918466749e-20,"Down"
"ANXA10",154.706146095791,11.8948693653638,2.54915711699201,7.88206926526096e-21,4.16415782413941e-20,"Up"
"PIR",139.506789845239,1.64364005777696,0.178023665755059,8.37692194375182e-21,4.42407979483243e-20,"Up"
"CCDC163",99.9460548620546,-1.63955488678578,0.177679465773596,8.83499882583033e-21,4.66440850206888e-20,"Down"
"ZNRF2",929.905969996457,1.420245269256,0.153675897883398,9.05631605757816e-21,4.77961926358454e-20,"Up"
"NPEPPS",1936.86291840173,0.947773482840973,0.101176346189994,9.46488240205663e-21,4.99354140522298e-20,"Up"
"GOLGA8B",87.6503563175193,-2.53868495852199,0.276344408369726,9.50401823707398e-21,5.01247760469298e-20,"Down"
"VSIR",1684.65690796495,-1.26768553571992,0.137055810540279,9.72970645765058e-21,5.12975618867534e-20,"Down"
"DNAJC12",38.1008928652195,3.26779415061066,0.355799107655629,9.80162718611405e-21,5.16591217281789e-20,"Up"
"KLHL5",806.071925006417,-0.882336306973236,0.0949586459079575,9.91348269900695e-21,5.22308381001549e-20,"Down"
"IL22RA1",120.705995308793,12.6552961411986,3.37789575660844,9.94572241797762e-21,5.23828386247471e-20,"Up"
"WNK1",3445.77785872313,-1.31273521880454,0.142037975128142,1.00136700536557e-20,5.27227404903379e-20,"Down"
"KCTD1",141.679095967741,1.39469872093833,0.151044276125518,1.02819625110441e-20,5.4116882385274e-20,"Up"
"SRBD1",699.796445919647,0.869748100408274,0.0936136323893032,1.05460778144922e-20,5.54880968564342e-20,"Up"
"JARID2",1231.29274525518,-1.40886188545315,0.152750310452533,1.06743736109184e-20,5.61440079678428e-20,"Down"
"PRPF38B",733.050308234693,-0.943562174345024,0.101674156038479,1.09133088942224e-20,5.7381205288336e-20,"Down"
"KCTD21",165.401581562118,1.25735221368676,0.13602626085807,1.1180147473519e-20,5.87642241184657e-20,"Up"
"SHMT1",880.923340782628,-0.727760252235791,0.0783443729737954,1.12776899779096e-20,5.92567641035826e-20,"Down"
"LPCAT3",1542.59541375165,0.4974027902636,0.0534343878861186,1.14369836591775e-20,6.00733203552925e-20,"Not Significant"
